Pontuacao,ComprimentoCorpo,Montanha,Local
28.07832382,197.3707903,Ausangate,a
45.27196908,197.7966825,Ausangate,a
45.9168229,199.6620064,Ausangate,a
29.83577228,208.7708277,Ausangate,a
52.41878783,199.6470087,Ausangate,a
53.44515439,198.6395736,Ausangate,a
36.35458046,193.3904581,Ausangate,a
47.75813798,196.7885373,Ausangate,a
44.11577147,195.7997268,Ausangate,a
55.65078074,205.007335,Ausangate,a
24.42787715,204.5745191,Ausangate,a
29.76244997,197.821003,Ausangate,a
35.48042348,202.9267917,Ausangate,a
50.98612865,209.769199,Ausangate,b
37.30849023,212.3001688,Ausangate,b
45.92866433,206.8002264,Ausangate,b
14.56563392,206.0291334,Ausangate,b
54.70112294,216.4534082,Ausangate,b
15.04281131,214.375613,Ausangate,b
34.43359879,206.7412391,Ausangate,b
31.56778978,201.7569338,Ausangate,b
51.78122573,212.9415295,Ausangate,b
38.94565084,209.9258209,Ausangate,b
53.86706139,210.8249888,Ausangate,b
29.41256803,213.8767095,Ausangate,b
47.26828344,218.6140446,Ausangate,b
47.65628541,210.8980754,Ausangate,b
32.99205539,208.8068918,Ausangate,b
34.00821752,213.5269776,Ausangate,b
49.62605987,214.3452445,Ausangate,b
51.49125024,212.429093,Ausangate,b
41.40474031,214.0022867,Ausangate,b
44.26974933,209.3735113,Ausangate,b
61.22757265,217.0455452,Ausangate,c
44.3479966,216.9197318,Ausangate,c
30.41185142,215.0328021,Ausangate,c
58.37905013,218.4580886,Ausangate,c
58.13052774,221.1151929,Ausangate,c
59.43246942,207.1896096,Ausangate,c
15.60638705,225.4513367,Ausangate,c
45.61626409,227.24234,Ausangate,c
43.84316785,216.0924307,Ausangate,c
42.38427159,227.2506149,Ausangate,c
63.31509907,217.0385986,Ausangate,c
38.11835159,220.5751091,Ausangate,c
46.5463282,213.1708851,Ausangate,c
26.45342778,229.8520674,Ausangate,c
6.411028986,224.7217526,Ausangate,c
30.1055147,229.9113525,Ausangate,c
21.44073391,219.4764395,Ausangate,c
46.8188293,221.150666,Ausangate,c
34.92085157,211.9773527,Ausangate,c
44.04159098,223.3711855,Ausangate,c
27.81871548,200.5537862,Misti,a
57.5179885,200.9446128,Misti,a
38.98888726,208.5197375,Misti,a
44.49281205,194.0454965,Misti,a
42.81146981,202.8488506,Misti,a
48.85751255,202.0203024,Misti,a
37.53020955,199.3371222,Misti,a
45.36153445,205.1835979,Misti,a
25.89813313,205.9698587,Misti,a
51.53568826,203.5147168,Misti,a
28.8186207,204.7389919,Misti,a
28.88073094,195.5731781,Misti,a
24.28346646,199.0944746,Misti,a
20.01765887,196.3430907,Misti,a
47.47907338,201.3040275,Misti,a
24.50591051,205.9356944,Misti,a
56.29830742,195.3113561,Misti,a
28.98689167,192.4014869,Misti,a
0,189.6056855,Misti,a
22.92798874,208.5542802,Misti,a
60.92696977,209.8167773,Misti,b
61.85889511,209.2845643,Misti,b
20.63619251,209.815756,Misti,b
47.15537479,209.0275725,Misti,b
73.25498324,210.6181288,Misti,b
59.96543634,216.5011188,Misti,b
24.78574524,216.2859087,Misti,b
84.27278541,216.5827531,Misti,b
34.72026871,217.7575204,Misti,b
43.89444763,211.8756156,Misti,b
15.39948436,211.1851959,Misti,b
30.77952113,200.3431534,Misti,b
31.31750403,215.9294813,Misti,b
24.65123483,206.6773416,Misti,b
37.80756058,212.0453334,Misti,b
41.12558906,216.4527049,Misti,b
52.04463043,211.4987178,Misti,b
41.48460121,221.358007,Misti,b
40.45317291,211.7023111,Misti,b
43.15846982,213.1243748,Misti,b
45.15527265,216.7445608,Misti,c
37.25374477,215.076173,Misti,c
45.63185473,220.7127613,Misti,c
52.778979,220.9798451,Misti,c
44.9486003,221.9942923,Misti,c
42.20135613,218.9648973,Misti,c
29.0745318,223.3676851,Misti,c
25.97243864,219.1208868,Misti,c
26.33689136,217.1293049,Misti,c
20.12282146,217.9883381,Misti,c
42.86974835,225.1104251,Misti,c
57.30076621,218.4277133,Misti,c
44.96591493,223.2930573,Misti,c
57.88940809,221.7403879,Misti,c
46.85780756,227.813772,Misti,c
14.91691748,220.7496859,Misti,c
34.67435855,213.8928711,Misti,c
16.82949118,222.5052114,Misti,c
61.88995208,217.3126191,Misti,c
62.53952302,224.4747732,Misti,c
59.60133011,216.3377005,Chumpe,a
90.03115595,209.131404,Chumpe,a
40.24362301,209.9054477,Chumpe,a
53.75219008,207.4095317,Chumpe,a
32.38160546,203.0326104,Chumpe,a
46.71517463,217.1245855,Chumpe,a
67.1218438,201.3487591,Chumpe,a
66.76638805,201.7597024,Chumpe,a
69.08986641,216.1824114,Chumpe,a
61.67785234,204.9445967,Chumpe,a
40.08001982,216.4814757,Chumpe,a
38.31882489,212.5573173,Chumpe,a
32.45626564,214.1797766,Chumpe,a
39.22602934,215.6827243,Chumpe,a
42.15079661,198.2832266,Chumpe,a
51.0146848,207.8103437,Chumpe,a
37.37891007,215.3628676,Chumpe,a
35.28094914,206.6435205,Chumpe,a
64.27195992,210.0694165,Chumpe,a
42.82368986,213.1133748,Chumpe,a
50.68080427,212.0792079,Chumpe,b
52.57190749,215.5315906,Chumpe,b
81.47113669,220.1562685,Chumpe,b
59.45665689,206.2180513,Chumpe,b
67.38271958,212.2298946,Chumpe,b
41.23996201,208.0642112,Chumpe,b
51.13664991,207.3500373,Chumpe,b
52.2411922,213.011877,Chumpe,b
59.11196428,213.559816,Chumpe,b
76.93015712,215.2943604,Chumpe,b
51.7683057,210.9402553,Chumpe,b
59.54057033,215.9652086,Chumpe,b
75.75768329,204.9527426,Chumpe,b
73.11907013,213.5820623,Chumpe,b
71.08028424,214.7521981,Chumpe,b
49.47583784,209.5279787,Chumpe,b
50.18156111,205.9587665,Chumpe,b
81.13824768,201.3215734,Chumpe,b
59.18682857,214.4584547,Chumpe,b
57.96817805,203.7714782,Chumpe,b
72.74577412,210.9189945,Chumpe,c
57.66393865,208.2950642,Chumpe,c
55.71104335,208.4432241,Chumpe,c
77.67603971,210.7099817,Chumpe,c
71.83937612,215.3302228,Chumpe,c
76.8643398,203.3975435,Chumpe,c
65.76527992,213.7782631,Chumpe,c
100,200.1821687,Chumpe,c
76.69906864,208.7098561,Chumpe,c
57.01822619,211.3342879,Chumpe,c
78.78208805,212.9441394,Chumpe,c
58.58788818,196.7165149,Chumpe,c
75.36150655,203.9223975,Chumpe,c
66.40082377,196.2828091,Chumpe,c
58.44581677,206.2261176,Chumpe,c
54.90716517,207.7157235,Chumpe,c
74.78570556,204.5781914,Chumpe,c
62.99667338,199.6817128,Chumpe,c
39.93740322,206.8766707,Chumpe,c
89.91547163,214.4067381,Chumpe,c
69.92402188,205.3738454,Copa,a
67.63781303,206.759194,Copa,a
95.10608963,204.6719573,Copa,a
60.20771807,194.4018364,Copa,a
54.39126946,191.9884128,Copa,a
67.47377634,193.7814212,Copa,a
33.32083507,198.1494526,Copa,a
72.27220588,203.8420388,Copa,a
65.42824238,200.1460101,Copa,a
74.71761405,201.9407357,Copa,a
78.2390102,195.1705195,Copa,a
55.60685701,205.593968,Copa,a
66.46337977,198.5213738,Copa,a
87.201463,209.0728968,Copa,a
74.82413632,191.5980825,Copa,a
82.25177795,199.0071224,Copa,a
61.76398934,200.615296,Copa,a
83.96924249,194.1533128,Copa,a
45.77508249,202.7619162,Copa,a
47.00836676,201.9771132,Copa,a
78.6686924,208.9110526,Copa,b
88.55020026,192.7707273,Copa,b
83.94167731,200.7337844,Copa,b
92.76085227,202.0110594,Copa,b
54.53456819,202.015438,Copa,b
60.13170593,204.6495169,Copa,b
51.62754289,205.557111,Copa,b
63.86498944,192.3148453,Copa,b
100,198.8746157,Copa,b
61.23357099,191.6780829,Copa,b
61.57536768,199.7898795,Copa,b
80.89227919,196.9084076,Copa,b
81.4707695,202.5377201,Copa,b
52.96837818,193.4432113,Copa,b
52.68172813,204.5964783,Copa,b
58.86730882,194.6660724,Copa,b
77.82105191,198.9087408,Copa,b
89.81549741,202.8991734,Copa,b
70.05126312,194.0053025,Copa,b
70.15305464,204.432935,Copa,b
69.35118232,198.599238,Copa,c
79.45642151,198.4922727,Copa,c
80.1251367,203.0018325,Copa,c
87.37121171,204.0924923,Copa,c
68.62071889,196.6191159,Copa,c
79.61413149,197.2118055,Copa,c
76.09976873,197.4367955,Copa,c
70.73252192,196.3309402,Copa,c
100,200.2723806,Copa,c
100,191.2489292,Copa,c
89.96132321,208.3710426,Copa,c
99.60564245,199.1000412,Copa,c
91.09412187,195.2930049,Copa,c
100,192.9174389,Copa,c
49.12509733,199.0632277,Copa,c
76.39837518,193.4526523,Copa,c
100,196.5466237,Copa,c
84.76762704,193.2691794,Copa,c
46.52849982,196.2377882,Copa,c
70.19868155,208.3468606,Copa,c
18.57879652,169.8457111,Huandoy,a
31.27595021,168.4443179,Huandoy,a
32.43769552,172.6260848,Huandoy,a
48.33633542,169.9158692,Huandoy,a
27.52311082,169.4562011,Huandoy,a
47.13844807,173.2164946,Huandoy,a
33.49743019,182.0087228,Huandoy,a
22.82596364,172.2301887,Huandoy,a
33.15077352,162.3266403,Huandoy,a
41.89998206,174.1197927,Huandoy,a
32.34436836,170.464896,Huandoy,a
49.92369411,172.0604235,Huandoy,a
32.65306965,166.3266633,Huandoy,a
0,171.0507305,Huandoy,a
24.85078495,164.9587105,Huandoy,a
18.96191597,168.6704394,Huandoy,a
40.31845952,178.4998931,Huandoy,a
26.30842115,177.7946445,Huandoy,a
29.62876354,171.0892154,Huandoy,a
24.25831536,174.7524868,Huandoy,a
30.10438578,177.5754957,Huandoy,b
51.97491131,169.0762543,Huandoy,b
30.82413379,175.9195615,Huandoy,b
17.63300104,176.4742145,Huandoy,b
33.7160886,171.933489,Huandoy,b
27.44376646,169.1192163,Huandoy,b
52.01345886,171.6060259,Huandoy,b
54.72373363,172.8035081,Huandoy,b
33.95938627,185.0029331,Huandoy,b
14.38163838,175.4381516,Huandoy,b
41.83984419,184.3563081,Huandoy,b
35.29427534,178.1971182,Huandoy,b
57.76703707,175.3422198,Huandoy,b
38.68855856,185.9965017,Huandoy,b
0,173.5325881,Huandoy,b
26.92161437,179.1025508,Huandoy,b
41.4525665,185.4089792,Huandoy,b
35.11051376,182.8629878,Huandoy,b
42.0307733,182.5324659,Huandoy,b
39.51259816,179.6827508,Huandoy,b
41.04554244,190.3528249,Huandoy,c
55.48672224,189.6619891,Huandoy,c
47.79591368,189.8144079,Huandoy,c
20.0301813,191.637876,Huandoy,c
21.16921679,183.4594161,Huandoy,c
24.71449936,196.1379368,Huandoy,c
42.65001457,192.2720432,Huandoy,c
41.80699468,186.1325782,Huandoy,c
14.99948941,193.6163673,Huandoy,c
38.02095669,197.504274,Huandoy,c
15.92359899,188.9933373,Huandoy,c
44.58249001,184.0380145,Huandoy,c
25.59674894,191.7543213,Huandoy,c
24.7008828,190.4149845,Huandoy,c
2.599976158,184.1359253,Huandoy,c
30.56533582,198.5599755,Huandoy,c
20.0108515,187.8678848,Huandoy,c
25.64567772,189.6532957,Huandoy,c
14.48820423,196.0603978,Huandoy,c
24.61623476,186.4692712,Huandoy,c
84.19259973,210.7849136,Ampato,a
97.64793511,216.177762,Ampato,a
83.49706084,202.6896246,Ampato,a
66.68982653,207.9572995,Ampato,a
59.55419864,213.5493376,Ampato,a
92.63240044,214.9188549,Ampato,a
72.70060303,205.9777832,Ampato,a
33.01120792,210.4354024,Ampato,a
75.32990108,214.2783122,Ampato,a
76.86891041,208.3020933,Ampato,a
65.44912835,218.5710411,Ampato,a
72.64175411,213.0088214,Ampato,a
64.95098058,201.3747601,Ampato,a
55.13912312,208.8451337,Ampato,a
48.22811022,212.5688928,Ampato,a
74.75372604,212.9179121,Ampato,a
76.94967139,207.9578875,Ampato,a
83.16814589,209.1888438,Ampato,a
78.34166867,209.1163802,Ampato,a
61.86634547,205.4238249,Ampato,a
68.9558981,216.7468,Ampato,b
85.49912574,220.1734949,Ampato,b
61.50091004,215.9364267,Ampato,b
53.39396496,222.5172536,Ampato,b
63.95364633,217.7349199,Ampato,b
71.9419906,220.2700929,Ampato,b
100,209.490674,Ampato,b
42.6229556,232.0245441,Ampato,b
57.18445105,222.4751674,Ampato,b
63.91119662,212.103999,Ampato,b
98.49981569,215.7331782,Ampato,b
62.91776784,218.0322671,Ampato,b
94.11633537,230.6504174,Ampato,b
64.66669404,215.8086151,Ampato,b
53.44704295,218.4740889,Ampato,b
80.41216873,217.2142413,Ampato,b
77.68140195,219.5686339,Ampato,b
80.44865361,219.1786122,Ampato,b
66.42204568,214.5941259,Ampato,b
79.26340539,229.194926,Ampato,b
63.11640413,224.1063165,Ampato,c
77.67858855,235.2356907,Ampato,c
40.72778277,230.1745264,Ampato,c
72.55565446,228.7563058,Ampato,c
77.24917414,235.7619325,Ampato,c
62.8720811,226.0114365,Ampato,c
85.07255401,227.3245942,Ampato,c
37.37126047,231.6467391,Ampato,c
45.72630661,229.4615062,Ampato,c
69.97591799,227.8427592,Ampato,c
44.68137851,224.7289876,Ampato,c
64.16086962,226.2744909,Ampato,c
56.90269558,231.5607752,Ampato,c
53.49612232,233.6532496,Ampato,c
73.93776993,227.8715397,Ampato,c
66.66395668,234.9150294,Ampato,c
68.03086567,236.3624529,Ampato,c
68.57630992,218.379971,Ampato,c
89.04253104,232.5136804,Ampato,c
55.49848401,229.1559291,Ampato,c
67.75977708,187.2742058,Ulta,a
86.98469635,193.4146872,Ulta,a
72.00825963,183.0901561,Ulta,a
41.18861111,191.4369676,Ulta,a
71.86119542,187.5830611,Ulta,a
54.05221853,194.1433106,Ulta,a
68.53825925,190.3476995,Ulta,a
94.54501018,195.5906784,Ulta,a
54.34806193,185.5103318,Ulta,a
82.85390216,195.131278,Ulta,a
58.04338816,193.1420621,Ulta,a
52.63777041,196.8125429,Ulta,a
84.26941563,187.5895292,Ulta,a
82.01246834,187.5918829,Ulta,a
67.43558238,185.0610719,Ulta,a
58.32778384,195.2989693,Ulta,a
70.22836364,187.7512061,Ulta,a
70.46699771,191.5504562,Ulta,a
100,193.4236447,Ulta,a
55.15524214,187.2260442,Ulta,a
80.29278942,201.4693094,Ulta,b
55.45087479,200.0089144,Ulta,b
25.04964151,201.1818922,Ulta,b
60.46641142,203.0729543,Ulta,b
64.52871139,196.7923379,Ulta,b
67.05504096,211.515051,Ulta,b
58.7786632,197.4586825,Ulta,b
50.81465835,197.3639815,Ulta,b
70.96525177,200.1878132,Ulta,b
78.36248405,200.1565211,Ulta,b
42.97815129,200.004242,Ulta,b
40.60387992,199.2015347,Ulta,b
57.07400263,196.3897333,Ulta,b
75.24561779,203.1731159,Ulta,b
76.59404256,193.5597646,Ulta,b
71.09596606,200.1274406,Ulta,b
48.91303314,204.1876621,Ulta,b
40.53400944,200.6415586,Ulta,b
13.08091638,199.9993253,Ulta,b
75.95775853,193.3399833,Ulta,b
76.5151287,212.2828061,Ulta,c
73.61703391,209.3062303,Ulta,c
94.10609628,216.7270906,Ulta,c
62.30081185,222.4187767,Ulta,c
58.99851772,206.2145502,Ulta,c
66.53893548,209.9636539,Ulta,c
51.28794068,203.2931779,Ulta,c
56.68832135,212.7266793,Ulta,c
70.30222165,209.9372328,Ulta,c
77.15232632,215.9616383,Ulta,c
73.8070584,214.1953811,Ulta,c
57.78187308,211.6900388,Ulta,c
63.525721,222.9063425,Ulta,c
53.71349665,222.4036862,Ulta,c
87.41397361,205.6941259,Ulta,c
81.88360971,211.1533123,Ulta,c
59.36769676,213.5771741,Ulta,c
68.75460874,207.625105,Ulta,c
74.89499779,198.2527734,Ulta,c
65.95006213,208.0559773,Ulta,c
